iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-21T01:20:50.672928+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3068837,500,252,4348,5611,3,16,276710,9,540,74,4,4,,,,,,,,,,
2026-06-21T01:20:50.768249+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3068937,499,262,4324,5637,5,16,276730,9,540,74,9,1,,,,,,,,,,
2026-06-21T01:20:50.863264+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069037,500,261,4345,5650,6,16,276750,9,540,74,4,3,,,,,,,,,,
2026-06-21T01:20:50.957926+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069137,500,247,4353,5587,3,16,276770,9,540,74,4,2,,,,,,,,,,
2026-06-21T01:20:51.052709+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069237,500,247,4353,5587,5,16,276790,9,540,74,4,2,,,,,,,,,,
2026-06-21T01:20:51.192727+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069337,499,262,4322,5634,6,16,276810,9,540,74,9,2,,,,,,,,,,
2026-06-21T01:20:51.287693+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069437,501,246,4340,5569,3,16,276830,9,540,74,6,5,,,,,,,,,,
2026-06-21T01:20:51.380158+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069537,500,252,4337,5601,4,16,276851,9,540,74,6,2,,,,,,,,,,
2026-06-21T01:20:51.475859+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069637,500,261,4327,5634,6,16,276870,9,540,74,7,4,,,,,,,,,,
2026-06-21T01:20:51.570531+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069737,500,257,4327,5616,3,16,276890,9,540,74,11,3,,,,,,,,,,
2026-06-21T01:20:51.663876+00:00,S023,commissioning_unmounted,false,healthy,none,500,healthy_horizontal_no_load_0500rpm,3069837,500,257,4327,5616,5,16,276910,9,540,74,11,3,,,,,,,,,,
