iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-21T01:13:12.625852+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2609328,161,881,6773,20387,3,16,101808,9,2145739,236,240,56,,,,,,,,,,
2026-06-21T01:13:12.719485+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2609428,161,881,6773,20387,5,16,101828,9,2145739,236,240,56,,,,,,,,,,
2026-06-21T01:13:12.812766+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2609528,476,661,4420,7893,6,16,101848,9,2145739,145,108,39,,,,,,,,,,
2026-06-21T01:13:12.905708+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2609628,502,255,4321,5594,3,16,101868,9,2145739,74,3,1,,,,,,,,,,
2026-06-21T01:13:13.015415+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2609728,500,256,4327,5608,5,16,101888,9,2145739,74,9,1,,,,,,,,,,
2026-06-21T01:13:13.109039+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2609828,500,249,4345,5588,6,16,101908,9,2145739,74,5,3,,,,,,,,,,
2026-06-21T01:13:13.203627+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2609928,500,256,4314,5593,3,16,101928,9,2145739,73,7,2,,,,,,,,,,
2026-06-21T01:13:13.306830+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610028,500,256,4314,5593,5,16,101948,9,2145739,73,7,2,,,,,,,,,,
2026-06-21T01:13:13.390320+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610128,500,250,4343,5595,6,16,101968,9,2145739,74,5,3,,,,,,,,,,
2026-06-21T01:13:13.493596+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610228,500,254,4329,5601,3,16,101988,9,2145739,74,5,2,,,,,,,,,,
2026-06-21T01:13:13.592661+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610328,500,248,4343,5583,5,16,102008,9,2145739,74,3,2,,,,,,,,,,
2026-06-21T01:13:13.679371+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610428,501,255,4335,5608,6,16,102028,9,2145739,74,6,3,,,,,,,,,,
2026-06-21T01:13:13.780300+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610528,500,258,4322,5616,3,16,102048,9,2145739,74,9,1,,,,,,,,,,
2026-06-21T01:13:13.920292+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610628,500,258,4322,5616,5,16,102068,9,2145739,74,9,1,,,,,,,,,,
2026-06-21T01:13:13.999460+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610728,500,254,4330,5601,6,16,102088,9,2145739,74,5,2,,,,,,,,,,
2026-06-21T01:13:14.103623+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610828,501,252,4335,5595,3,16,102108,9,2145739,74,3,3,,,,,,,,,,
2026-06-21T01:13:14.193994+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2610928,500,258,4316,5606,5,16,102128,9,2145739,74,10,1,,,,,,,,,,
2026-06-21T01:13:14.293777+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2611028,500,251,4343,5598,6,16,102148,9,2145739,74,4,4,,,,,,,,,,
2026-06-21T01:13:14.379176+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2611128,501,255,4322,5598,3,16,102168,9,2145739,73,7,2,,,,,,,,,,
2026-06-21T01:13:14.474485+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2611228,501,255,4322,5598,5,16,102188,9,2145739,73,7,2,,,,,,,,,,
2026-06-21T01:13:14.620088+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2611328,500,255,4332,5608,6,16,102208,9,2145739,74,10,1,,,,,,,,,,
2026-06-21T01:13:14.706412+00:00,S019,commissioning_unmounted,false,imbalance,mild,500,imbalance-mild_horizontal_no_load_0500rpm,2611428,500,253,4320,5587,3,16,102228,9,2145739,74,6,4,,,,,,,,,,
