iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-21T03:51:45.816867+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3562502,1695,288,1261,1686,1,50,1572019,9,533,76,0,2,,,,,,,,,,
2026-06-21T03:51:45.908294+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3562602,1694,292,1253,1684,4,50,1572087,9,533,77,0,2,,,,,,,,,,
2026-06-21T03:51:46.047632+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3562702,1693,286,1254,1676,2,50,1572155,9,533,77,0,3,,,,,,,,,,
2026-06-21T03:51:46.140374+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3562802,1693,294,1251,1686,3,50,1572222,9,533,77,0,2,,,,,,,,,,
2026-06-21T03:51:46.249394+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3562902,1695,293,1250,1683,5,50,1572290,9,533,77,0,1,,,,,,,,,,
2026-06-21T03:51:46.342396+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3563002,1695,289,1258,1684,6,50,1572358,9,533,76,0,2,,,,,,,,,,
2026-06-21T03:51:46.435710+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3563102,1692,294,1251,1686,3,50,1572426,9,533,77,0,2,,,,,,,,,,
2026-06-21T03:51:46.530183+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3563202,1693,289,1258,1686,1,50,1572493,9,533,76,0,2,,,,,,,,,,
2026-06-21T03:51:46.622615+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3563302,1694,288,1253,1679,4,50,1572561,9,533,75,1,2,,,,,,,,,,
2026-06-21T03:51:46.715067+00:00,S032,commissioning_unmounted,false,phase_asymmetry,mild,1700,phase_asymmetry-mild_horizontal_no_load_1700rpm,3563402,1694,292,1251,1683,2,50,1572629,9,533,77,0,2,,,,,,,,,,
