iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,accel_x_mg,accel_y_mg,accel_z_mg,i_dc_a,i_dc_zero_mv,i_dc_peak_a,i_dc_min_a,i_dc_a_signed,temp_motor_c,temp_motor_f,temp_ambient_c,i_u_a,i_v_a,i_w_a,modbus_rpm,modbus_fault
2026-07-30T20:12:34.530043+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,613328,1521,277,1408,1864,3,0,58588,9,230,74,5,2,1645,1495,1218,67,129,1636,16383,1649,1634,1630162,800,1917,2202,521957,11956,8,382556,1496,6123,649,613229603,613328658,0,613328732,613329247,3321886626,17868244,-3,-46,1063,0.0848,1636.6,0.27942962161257956,-0.19545837437269986,0.0848,25.43,77.8,,,,,,
2026-07-30T20:12:34.625047+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,613428,1458,276,1471,1945,6,0,58646,9,230,74,6,2,1645,1495,1196,64,131,1645,16383,1648,1638,1630086,800,2009,2061,521958,11956,8,382558,1496,6124,649,613329663,613428715,0,613428789,613429304,3321524188,17868244,-1,-42,1053,0.0848,1636.6,0.04448503412512528,-0.0421611967213118,0.0848,25.15,77.3,,,,,,
2026-07-30T20:12:34.719777+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,613528,1411,274,1518,2004,1,0,58703,9,230,73,1,2,1645,1494,1208,64,131,1644,16383,1648,1639,1645892,808,2003,2073,521924,11953,8,382555,1496,6125,649,613429719,613529373,0,613529382,613529897,3352727732,17859279,-14,-45,1049,0.0848,1636.6,0.06534726001840552,-0.051321171337739724,0.0848,25.18,77.3,,,,,,
2026-07-30T20:12:34.815042+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,613628,1431,268,1497,1966,2,0,58761,9,230,73,5,3,1645,1494,1224,61,128,1640,16383,1649,1637,1630960,800,1935,2185,521995,11955,8,382555,1496,6126,649,613530317,613629414,0,613629429,613629944,3325124800,17865255,-15,-44,1057,0.0848,1636.6,0.25140751191969857,-0.16519575031367673,0.0848,25.3,77.5,,,,,,
2026-07-30T20:12:34.910448+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,613728,1481,275,1442,1907,6,0,58820,9,230,73,1,3,1645,1495,1201,61,128,1639,16383,1648,1639,1631139,800,1942,2071,522049,11956,8,382557,1496,6127,649,613630361,613729465,0,613729479,613729994,3325829815,17868250,-18,-31,1045,0.0848,1636.6,0.061147770826363246,-0.15380153261960539,0.0848,25.33,77.6,,,,,,
2026-07-30T20:12:35.004268+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,613828,1492,272,1435,1892,4,0,58879,9,230,74,1,3,1645,1494,1211,65,143,1643,16383,1648,1637,1630698,800,2009,2071,522027,11954,8,382556,1496,6128,649,613730411,613829504,0,613829513,613830028,3324025272,17862272,-33,-21,1052,0.0848,1636.6,0.06172512615024228,-0.041601125815626805,0.0848,25.21,77.4,,,,,,
2026-07-30T20:12:35.098824+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,613929,1518,274,1407,1859,6,0,58940,9,230,74,1,3,1645,1494,1214,67,146,1649,16383,1650,1637,1630810,800,2011,2064,522051,11951,8,382549,1496,6129,649,613830444,613929556,0,613929565,613930080,3324477194,17853301,-39,-23,1043,0.0848,1636.6,0.050922725880679476,-0.037426726382729925,0.0848,25.03,77.1,,,,,,
2026-07-30T20:12:35.238826+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614029,1523,273,1399,1848,2,0,59001,9,230,73,2,3,1645,1495,1195,67,146,1647,16383,1649,1637,1630604,800,1989,2123,522024,11957,8,382553,1496,6130,649,613930501,614029598,0,614029607,614030122,3323655328,17871233,-26,-17,1045,0.0848,1636.6,0.14749814995400135,-0.07576384820607229,0.0848,25.09,77.2,,,,,,
2026-07-30T20:12:35.331891+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614129,1527,276,1399,1851,1,0,59063,9,230,73,0,2,1645,1494,1200,68,145,1640,16383,1650,1639,1647111,808,1963,2127,522032,11954,8,382552,1496,6131,649,614030543,614130366,0,614130445,614130960,3357713079,17862268,-3,-36,1043,0.0848,1636.6,0.15505206340973698,-0.11826253856449753,0.0848,25.3,77.5,,,,,,
2026-07-30T20:12:35.427025+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614229,1517,277,1407,1864,1,0,59123,9,230,74,0,3,1645,1494,1187,68,145,1638,16383,1649,1639,1630395,800,1924,2069,521969,11953,8,382549,1496,6132,649,614131373,614230444,0,614230518,614231033,3322807623,17859281,-6,-24,1030,0.0848,1636.6,0.058680492512339644,-0.18298982958253163,0.0848,25.36,77.7,,,,,,
2026-07-30T20:12:35.519028+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614329,1514,275,1411,1866,5,0,59184,9,230,74,1,3,1645,1494,1200,68,145,1629,16383,1650,1639,1631056,800,2005,2179,522032,11953,8,382546,1496,6133,649,614231446,614330491,0,614330565,614331080,3325499140,17859281,-11,-18,1031,0.0848,1636.6,0.24201659892913874,-0.04798778758470679,0.0848,25.64,78.1,,,,,,
2026-07-30T20:12:35.611744+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614430,1536,276,1387,1837,6,0,59246,9,230,73,3,3,1645,1494,1203,69,142,1642,16383,1649,1640,1631059,800,1885,2167,522058,11954,8,382545,1496,6134,649,614331501,614430561,0,614430640,614431155,3325543249,17862268,0,-26,1037,0.0848,1636.6,0.22171416145223377,-0.24825362974736498,0.0848,25.24,77.4,,,,,,
2026-07-30T20:12:35.707339+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614530,1571,275,1358,1797,1,0,59309,9,230,74,2,3,1646,1494,1212,69,142,1637,16383,1651,1639,1648260,808,2007,2207,522164,11955,8,382545,1496,6135,649,614431568,614531398,0,614531407,614531922,3362410048,17865257,-13,-29,1040,0.0886,1636.6,0.28806859899623527,-0.045214010790464165,0.0886,25.4,77.7,,,,,,
2026-07-30T20:12:35.800067+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614630,1571,278,1359,1802,6,0,59372,9,230,74,2,2,1645,1494,1205,68,138,1641,16383,1649,1639,1630361,800,1959,2067,522101,11953,8,382542,1496,6136,649,614532339,614631491,0,614631500,614632015,3322655181,17859279,-5,-38,1050,0.0848,1636.6,0.05534710875930715,-0.124655613904459,0.0848,25.27,77.5,,,,,,
2026-07-30T20:12:35.941819+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614731,1542,275,1388,1835,3,0,59434,9,230,74,3,2,1645,1494,1215,67,135,1645,16383,1649,1639,1647480,808,1971,2081,522115,11955,8,382543,1496,6137,649,614632435,614732021,0,614732095,614732610,3359205000,17865263,-14,-39,1052,0.0848,1636.6,0.07810055483061484,-0.10520488055207045,0.0848,25.15,77.3,,,,,,
2026-07-30T20:12:36.037931+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614831,1516,276,1409,1865,1,0,59495,9,230,74,0,2,1645,1495,1208,67,135,1644,16383,1648,1640,1630477,800,1873,2141,522049,11956,8,382546,1496,6138,649,614733030,614832095,0,614832168,614832684,3323159463,17868246,-28,-23,1039,0.0848,1636.6,0.17778692773502813,-0.26877441585814665,0.0848,25.18,77.3,,,,,,
2026-07-30T20:12:36.133243+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,614931,1508,274,1421,1876,1,0,59555,9,230,73,2,2,1645,1495,1216,66,136,1639,16383,1650,1639,1630734,800,2005,2068,522040,11957,8,382550,1496,6139,649,614833098,614932115,0,614932189,614932704,3324173338,17871235,-25,-28,1037,0.0848,1636.6,0.0558607626494938,-0.04910569917203311,0.0848,25.33,77.6,,,,,,
2026-07-30T20:12:36.228986+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,615031,1486,276,1437,1902,1,0,59615,9,230,74,1,3,1645,1494,1205,66,137,1644,16383,1649,1641,1630817,800,2011,2073,522009,11953,8,382547,1496,6140,649,614933120,615032175,0,615032254,615032769,3324507207,17859281,-19,-25,1048,0.0848,1636.6,0.06534726001840552,-0.037987636325608864,0.0848,25.18,77.3,,,,,,
2026-07-30T20:12:36.320810+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,615131,1483,274,1441,1904,3,0,59674,9,230,74,0,3,1645,1494,1211,66,137,1637,16383,1649,1639,1630878,800,1875,2069,522035,11954,8,382546,1496,6141,649,615033186,615132207,0,615132281,615132796,3324785194,17862268,-13,-23,1050,0.0848,1636.6,0.05839202124811749,-0.2649191542579894,0.0848,25.4,77.7,,,,,,
2026-07-30T20:12:36.414603+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,615231,1491,275,1433,1894,3,0,59734,9,230,74,0,2,1645,1494,1222,62,134,1638,16383,1648,1641,1630691,800,1923,2067,522006,11952,8,382541,1496,6142,649,615133214,615232430,0,615232504,615233019,3324002051,17856290,-19,-12,1041,0.0848,1636.6,0.05563534939759052,-0.1843883614457833,0.0848,25.36,77.7,,,,,,
2026-07-30T20:12:36.509990+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,615331,1495,276,1428,1890,3,0,59794,9,230,74,0,3,1645,1494,1213,62,134,1643,16383,1648,1638,1630497,800,2007,2067,522001,11955,8,382542,1496,6143,649,615233434,615332512,0,615332591,615333106,3323209923,17865255,-26,-10,1044,0.0848,1636.6,0.05477077214554571,-0.045214010790464165,0.0848,25.21,77.4,,,,,,
2026-07-30T20:12:36.604492+00:00,S032,mounted,true,healthy,none,1500,healthy_horizontal_no_load_1500rpm,615432,1504,271,1418,1869,3,0,59854,9,230,73,2,3,1645,1494,1210,64,137,1641,16383,1649,1639,1630285,800,2015,2065,522001,11953,8,382540,1496,6144,649,615333521,615432598,0,615432677,615433192,3322341813,17859281,-34,-9,1039,0.0848,1636.6,0.052013725006274214,-0.031320868819543435,0.0848,25.27,77.5,,,,,,
