iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,accel_x_mg,accel_y_mg,accel_z_mg,i_dc_a,i_dc_zero_mv,i_dc_peak_a,i_dc_min_a,i_dc_a_signed,temp_motor_c,temp_motor_f,temp_ambient_c,i_u_a,i_v_a,i_w_a,modbus_rpm,modbus_fault
2026-07-30T20:47:20.890487+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2694947,2103,297,1003,1357,2,3,506832,9,226,76,2,3,1640,1495,1195,92,238,1646,16383,1646,1632,1641799,808,2003,2065,520527,11959,8,382576,1496,26904,909,2694847715,2694947616,0,2694947626,2694948140,3336072685,17877211,25,133,1041,0.0682,1636.0,0.0502869658834344,-0.05299608587674598,0.0682,25.12,77.2,,,,,,
2026-07-30T20:47:20.981914+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695047,2113,297,998,1350,3,3,506917,9,226,76,2,3,1640,1495,1193,98,265,1635,16383,1643,1635,1626138,800,1837,2060,520530,11958,8,382581,1496,26905,909,2694948567,2695047654,0,2695047669,2695048184,3305490956,17874222,41,141,1033,0.0682,1636.0,0.04224466382338132,-0.32927221726041145,0.0682,25.46,77.8,,,,,,
2026-07-30T20:47:21.080488+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695147,2124,298,993,1344,3,3,507001,9,226,76,2,3,1640,1495,1218,98,265,1633,16383,1646,1634,1625875,800,1995,2063,520500,11956,8,382581,1496,26906,909,2695048610,2695147683,0,2695147693,2695148208,3304382749,17868244,42,129,1035,0.0682,1636.0,0.047817581465372516,-0.06548902810304513,0.0682,25.52,77.9,,,,,,
2026-07-30T20:47:21.171660+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695247,2124,298,993,1344,1,3,507086,9,226,77,1,3,1640,1495,1216,95,247,1634,16383,1644,1636,1625907,800,1993,2058,520457,11956,8,382581,1496,26907,909,2695148634,2695247730,0,2695247740,2695248254,3304506399,17868244,53,135,1031,0.0682,1636.0,0.039486213114753976,-0.06882157544329237,0.0682,25.49,77.9,,,,,,
2026-07-30T20:47:21.309477+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695347,2114,299,998,1352,4,3,507172,9,226,76,1,2,1640,1495,1191,92,242,1635,16383,1644,1635,1642061,808,1999,2062,520447,11957,8,382583,1496,26908,909,2695248680,2695348367,0,2695348446,2695348961,3337122495,17871233,62,117,1040,0.0682,1636.0,0.04586395676172916,-0.05910250505979775,0.0682,25.46,77.8,,,,,,
2026-07-30T20:47:21.405848+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695447,2106,298,1003,1357,4,3,507256,9,226,76,1,3,1640,1494,1214,92,242,1639,16383,1643,1634,1625833,800,1863,2065,520439,11955,8,382582,1496,26909,909,2695349391,2695448483,0,2695448557,2695449072,3304240777,17865255,53,123,1042,0.0682,1636.0,0.05143794604767837,-0.2851774898368884,0.0682,25.33,77.6,,,,,,
2026-07-30T20:47:21.497784+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695548,2100,300,1004,1361,4,3,507340,9,226,77,2,3,1640,1495,1203,89,230,1639,16383,1643,1633,1625029,800,1806,2063,520403,11956,8,382582,1496,26910,909,2695449499,2695548562,0,2695548636,2695549150,3301008689,17868244,60,109,1051,0.0682,1636.0,0.047817581465372516,-0.3804147517564407,0.0682,25.33,77.6,,,,,,
2026-07-30T20:47:21.599295+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695648,2101,299,1003,1359,4,3,507424,9,226,76,1,3,1640,1495,1227,89,230,1636,16383,1644,1632,1625618,800,1901,2147,520423,11957,8,382584,1496,26911,909,2695549577,2695648641,0,2695648715,2695649230,3303365476,17871233,67,125,1040,0.0682,1636.0,0.18748537350505945,-0.22238366789328445,0.0682,25.43,77.8,,,,,,
2026-07-30T20:47:21.694562+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695748,2098,300,1003,1361,4,3,507508,9,226,77,2,3,1640,1494,1238,90,236,1632,16383,1644,1632,1626206,800,1998,2155,520449,11955,8,382583,1496,26912,909,2695649657,2695748741,0,2695748815,2695749329,3305741178,17865257,75,111,1043,0.0682,1636.0,0.2014151204516934,-0.06021172823086607,0.0682,25.55,78.0,,,,,,
2026-07-30T20:47:21.789777+00:00,S037,mounted,true,loose_mount,mild,2100,loose_mount-mild_horizontal_no_load_2100rpm,2695848,2099,293,1010,1359,6,3,507593,9,226,76,2,2,1640,1494,1253,88,234,1635,16383,1646,1636,1642065,808,1995,2123,520440,11954,8,382580,1496,26913,909,2695749756,2695849525,0,2695849534,2695850049,3337162669,17862270,61,130,1037,0.0682,1636.0,0.1483858536054874,-0.06493286013050081,0.0682,25.46,77.8,,,,,,
