iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,accel_x_mg,accel_y_mg,accel_z_mg,i_dc_a,i_dc_zero_mv,i_dc_peak_a,i_dc_min_a,i_dc_a_signed,temp_motor_c,temp_motor_f,temp_ambient_c,i_u_a,i_v_a,i_w_a,modbus_rpm,modbus_fault
2026-07-30T22:18:01.599689+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3827536,1323,268,1624,2131,1,3,982112,9,4250908,73,1,2,1678,1495,1234,73,164,1715,16383,1682,1670,1662982,800,1892,2111,532458,11956,8,382515,1496,81091,563,3827438246,3827537316,0,3827537395,3827537910,3456970600,17868244,973,78,48,0.0834,1670.0,0.12779871763131467,-0.23711521612579478,0.0834,23.04,73.5,,,,,,
2026-07-30T22:18:01.692640+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3827636,1333,268,1611,2115,3,3,982165,9,4250908,73,1,2,1678,1494,1233,74,171,1703,16383,1681,1673,1663614,800,2046,2107,532466,11954,8,382515,1496,81092,563,3827538340,3827637395,0,3827637469,3827637984,3459553990,17862268,967,84,53,0.0834,1670.0,0.12172101438848859,0.020061314873682345,0.0834,23.4,74.1,,,,,,
2026-07-30T22:18:01.788252+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3827737,1337,268,1603,2105,3,3,982219,9,4250908,73,0,2,1678,1495,1226,74,171,1701,16383,1684,1672,1680930,808,1923,2271,532502,11956,8,382519,1496,81093,563,3827638413,3827738091,0,3827738101,3827738616,3497048670,17868244,988,78,58,0.0834,1670.0,0.3944025048511204,-0.18546073235195726,0.0834,23.46,74.2,,,,,,
2026-07-30T22:18:01.927892+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3827837,1331,269,1611,2116,2,3,982272,9,4250908,73,0,2,1678,1494,1235,71,168,1704,16383,1681,1673,1663218,800,2027,2103,532481,11954,8,382519,1496,81094,563,3827739043,3827838122,0,3827838131,3827838646,3457904938,17862268,994,71,60,0.0834,1670.0,0.11505480458423945,-0.011603181696503206,0.0834,23.37,74.1,,,,,,
2026-07-30T22:18:02.022267+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3827937,1325,265,1622,2123,6,3,982325,9,4250908,73,0,2,1678,1494,1238,71,168,1706,16383,1681,1675,1663820,800,2062,2105,532490,11955,8,382521,1496,81095,563,3827839077,3827938171,0,3827938180,3827938695,3460403360,17865259,983,61,58,0.0834,1670.0,0.11809446800501888,0.04643870690087848,0.0834,23.31,74.0,,,,,,
2026-07-30T22:18:02.116329+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3828037,1323,268,1621,2129,4,3,982378,9,4250908,73,0,2,1678,1495,1222,73,166,1704,16383,1680,1675,1663415,800,2045,2287,532476,11957,8,382527,1496,81096,563,3827939126,3828038200,0,3828038209,3828038725,3458761071,17871233,986,62,53,0.0834,1670.0,0.4207441775528977,0.01753967341306284,0.0834,23.37,74.1,,,,,,
2026-07-30T22:18:02.208992+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3828137,1316,268,1629,2138,5,3,982431,9,4250908,73,0,2,1678,1494,1255,75,178,1707,16383,1685,1675,1663823,800,2045,2251,532502,11950,8,382520,1496,81097,563,3828039155,3828138216,0,3828138230,3828138745,3460447853,17850326,987,60,54,0.0834,1670.0,0.3629602692887026,0.01953554895397458,0.0834,23.28,73.9,,,,,,
2026-07-30T22:18:02.305776+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3828237,1315,267,1633,2141,3,3,982483,9,4250908,73,0,2,1678,1494,1219,75,178,1708,16383,1682,1673,1663351,800,2022,2111,532477,11954,8,382520,1496,81098,563,3828139173,3828238274,0,3828238284,3828238799,3458464853,17862270,990,64,53,0.0834,1670.0,0.12838722419273818,-0.019935943951815638,0.0834,23.25,73.8,,,,,,
2026-07-30T22:18:02.397101+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3828337,1308,268,1638,2150,2,3,982536,9,4250908,73,1,2,1678,1494,1220,74,168,1705,16383,1681,1673,1663072,800,1925,2103,532471,11953,8,382519,1496,81099,563,3828239226,3828338293,0,3828338307,3828338822,3457344850,17859283,984,67,55,0.0834,1670.0,0.11534801631389602,-0.18132313770601582,0.0834,23.34,74.0,,,,,,
2026-07-30T22:18:02.504573+00:00,S043,mounted,true,orientation_change,mild,1300,orientation_change-mild_horizontal_no_load_1300rpm,3828437,1300,266,1651,2164,4,3,982588,9,4250908,73,0,2,1678,1494,1213,75,165,1704,16383,1682,1674,1663836,800,2055,2367,532478,11955,8,382521,1496,81100,563,3828339252,3828438346,0,3828438360,3828438875,3460551892,17865257,982,64,58,0.0834,1670.0,0.554694686825596,0.03477381555834347,0.0834,23.37,74.1,,,,,,
