iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,accel_x_mg,accel_y_mg,accel_z_mg,i_dc_a,i_dc_zero_mv,i_dc_peak_a,i_dc_min_a,i_dc_a_signed,temp_motor_c,temp_motor_f,temp_ambient_c,i_u_a,i_v_a,i_w_a,modbus_rpm,modbus_fault
2026-07-30T23:49:52.534197+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1163887,2126,305,989,1348,6,0,279136,9,111,78,0,3,1679,1494,1213,64,130,1465,16383,1682,1675,1681429,808,1967,2282,532732,11955,8,382564,1496,11618,909,1163788571,1163888369,0,1163888448,1163888963,3499125767,17865257,31,31,1052,0.0947,1668.0,0.4130495776662486,-0.11187053274780467,0.0947,30.75,87.3,,,,,,
2026-07-30T23:49:52.628042+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1163988,2133,306,985,1344,2,0,279221,9,111,78,0,3,1679,1495,1185,63,128,1467,16383,1684,1675,1664721,800,2027,2135,532742,11956,8,382565,1496,11619,909,1163889383,1163988602,0,1163988676,1163989190,3464162597,17868244,34,41,1061,0.0947,1668.0,0.16778928571428553,-0.012168270659083547,0.0947,30.68,87.2,,,,,,
2026-07-30T23:49:52.724183+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164088,2134,304,984,1341,1,0,279307,9,111,77,0,3,1679,1495,1176,62,137,1468,16383,1683,1674,1664595,800,1961,2289,532751,11957,8,382568,1496,11620,909,1163989610,1164088691,0,1164088770,1164089285,3463690737,17871233,48,30,1070,0.0947,1668.0,0.42407644618215246,-0.12241560901563941,0.0947,30.65,87.2,,,,,,
2026-07-30T23:49:52.814863+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164188,2135,306,984,1343,4,0,279393,9,111,78,0,3,1679,1494,1182,62,137,1465,16383,1681,1675,1680708,808,1865,2107,532727,11955,8,382568,1496,11621,909,1164089705,1164189512,0,1164189527,1164190042,3496098982,17865255,42,40,1063,0.0947,1668.0,0.12142729410288533,-0.28184466373902195,0.0947,30.75,87.3,,,,,,
2026-07-30T23:49:52.954050+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164289,2133,304,985,1342,6,0,279478,9,111,78,0,3,1679,1495,1215,62,127,1469,16383,1684,1674,1664653,800,2047,2113,532751,11958,8,382573,1496,11622,909,1164190462,1164289712,0,1164289722,1164290237,3463874715,17874222,38,40,1070,0.0947,1668.0,0.1305423978926239,0.02058672905168102,0.0947,30.62,87.1,,,,,,
2026-07-30T23:49:53.048188+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164389,2133,302,986,1341,3,0,279564,9,111,77,0,3,1679,1494,1196,62,127,1469,16383,1680,1675,1681107,808,2015,2113,532742,11952,8,382567,1496,11623,909,1164290657,1164390299,0,1164390373,1164390888,3497713217,17856292,22,53,1060,0.0947,1668.0,0.13230959036144574,-0.031039879518072855,0.0947,30.62,87.1,,,,,,
2026-07-30T23:49:53.142484+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164489,2132,306,984,1343,5,0,279650,9,111,78,0,3,1679,1494,1189,62,127,1466,16383,1681,1675,1664080,800,2037,2107,532737,11955,8,382567,1496,11624,909,1164391308,1164490480,0,1164490558,1164491074,3461492134,17865257,27,47,1068,0.0947,1668.0,0.12142729410288533,0.00477838067754055,0.0947,30.72,87.3,,,,,,
2026-07-30T23:49:53.236916+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164590,2132,305,985,1343,4,0,279735,9,111,78,0,3,1679,1494,1206,62,123,1468,16383,1683,1672,1664432,800,1997,2111,532734,11955,8,382567,1496,11625,909,1164491493,1164590740,0,1164590814,1164591329,3462962328,17865257,24,46,1072,0.0947,1668.0,0.12809294629861956,-0.061878141279799515,0.0947,30.65,87.2,,,,,,
2026-07-30T23:49:53.331130+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164691,2133,306,984,1343,2,0,279821,9,111,78,0,3,1679,1495,1219,62,123,1468,16383,1682,1676,1681216,808,2049,2185,532742,11956,8,382568,1496,11626,909,1164591748,1164691546,0,1164691556,1164692071,3498173440,17868244,25,39,1067,0.0947,1668.0,0.2511029692204749,0.024489750083639628,0.0947,30.65,87.2,,,,,,
2026-07-30T23:49:53.423026+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164791,2132,305,986,1344,3,0,279906,9,111,78,0,3,1679,1494,1228,62,126,1467,16383,1683,1675,1664399,800,2043,2245,532728,11954,8,382566,1496,11627,909,1164692490,1164791565,0,1164791574,1164792088,3462844199,17862268,30,24,1071,0.0947,1668.0,0.3517052526351008,0.015061657520495153,0.0947,30.68,87.2,,,,,,
2026-07-30T23:49:53.564391+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164891,2131,303,988,1344,5,0,279992,9,111,77,0,3,1679,1494,1227,61,126,1468,16383,1684,1674,1664348,800,2055,2191,532733,11954,8,382564,1496,11628,909,1164792508,1164891621,0,1164891635,1164892150,3462614654,17862268,21,40,1056,0.0947,1668.0,0.26171142027773087,0.03506028693324348,0.0947,30.65,87.2,,,,,,
2026-07-30T23:49:53.657764+00:00,S060,mounted,true,overheat,mild,2100,overheat-mild_horizontal_no_load_2100rpm,1164991,2133,306,985,1344,6,0,280078,9,111,78,0,3,1679,1495,1241,61,126,1467,16383,1684,1674,1681668,808,2044,2133,532763,11956,8,382565,1496,11629,909,1164892574,1164992379,0,1164992458,1164992973,3500050604,17868244,23,42,1062,0.0947,1668.0,0.16445673837403785,0.016158381733020644,0.0947,30.68,87.2,,,,,,
