iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,accel_x_mg,accel_y_mg,accel_z_mg,i_dc_a,i_dc_zero_mv,i_dc_peak_a,i_dc_min_a,i_dc_a_signed,temp_motor_c,temp_motor_f,temp_ambient_c,i_u_a,i_v_a,i_w_a,modbus_rpm,modbus_fault
2026-07-30T23:18:42.716684+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165042,910,389,2196,3265,2,3,1685516,9,116,119,133,9,1716,1494,1225,169,473,1580,16383,1726,1693,1692569,800,2085,2153,544585,11955,8,382554,1496,117353,390,3164943955,3165043021,0,3165043035,3165043550,3581100697,17865259,-25,59,1008,0.1569,1688.6,0.19808229435382652,0.08476620702634818,0.1569,27.14,80.9,,,,,,
2026-07-30T23:18:42.809604+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165142,864,581,2234,3916,3,3,1685547,9,116,170,208,15,1719,1495,1255,169,473,1580,16383,1765,1701,1708167,800,1949,2203,545362,11957,8,382558,1496,117354,390,3165043982,3165143079,0,3165143088,3165143603,3647775083,17871233,-50,48,1029,0.1683,1688.6,0.280788895124195,-0.14240922079116825,0.1683,27.14,80.9,,,,,,
2026-07-30T23:18:42.903922+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165242,841,1131,1955,5314,6,3,1685581,9,116,346,422,49,1720,1494,1242,173,462,1581,16383,1755,1691,1708304,800,2071,2195,545908,11953,8,382555,1496,117355,390,3165144036,3165243109,0,3165243123,3165243638,3648344258,17859283,-38,73,1020,0.1721,1688.6,0.26868366895340046,0.06201387626537258,0.1721,27.11,80.8,,,,,,
2026-07-30T23:18:42.996324+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165343,890,724,2098,4131,4,3,1685616,9,116,202,246,19,1719,1494,1191,221,684,1578,16383,1746,1698,1718423,808,2083,2191,545465,11949,8,382544,1496,117356,390,3165244072,3165343761,0,3165343835,3165344349,3654976731,17847329,-8,137,1057,0.1683,1688.6,0.2632393374340949,0.08317635777052468,0.1683,27.2,81.0,,,,,,
2026-07-30T23:18:43.092800+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165443,860,762,2190,4405,6,3,1685653,9,116,208,248,21,1719,1495,1193,221,684,1582,16383,1750,1702,1705730,800,1895,2366,545624,11958,8,382551,1496,117357,390,3165344782,3165443863,0,3165443937,3165444452,3637239412,17874222,-31,90,1065,0.1683,1688.6,0.5520391284495734,-0.23264450827897676,0.1683,27.08,80.7,,,,,,
2026-07-30T23:18:43.185922+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165543,928,390,2188,3239,6,3,1685689,9,116,104,94,25,1718,1494,1196,218,633,1583,16383,1730,1701,1701009,800,2061,2317,545206,11955,8,382551,1496,117358,390,3165444885,3165543935,0,3165544009,3165544524,3616944759,17865255,-27,29,1068,0.1645,1688.6,0.47137403437892056,0.04477229385194459,0.1645,27.05,80.7,,,,,,
2026-07-30T23:18:43.325786+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165643,925,307,2229,3060,3,3,1685727,9,116,91,79,6,1717,1495,1201,218,633,1584,16383,1726,1702,1699567,800,2027,2155,544800,11958,8,382557,1496,117359,390,3165544956,3165644011,0,3165644085,3165644600,3610747017,17874222,-43,38,1069,0.1607,1688.6,0.2005141871550422,-0.012733170597090115,0.1607,27.02,80.6,,,,,,
2026-07-30T23:18:43.420337+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165743,813,1019,2067,5201,5,3,1685759,9,116,302,380,26,1716,1494,1202,201,540,1592,16383,1751,1689,1700234,800,1971,2187,544546,11954,8,382556,1496,117360,390,3165645030,3165744082,0,3165744156,3165744671,3613957594,17862266,-8,60,1058,0.1569,1688.6,0.2550452104734813,-0.10493011895599791,0.1569,26.77,80.2,,,,,,
2026-07-30T23:18:43.513989+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165844,670,1314,2205,7103,2,3,1685786,9,116,415,525,45,1721,1494,1214,219,604,1586,16383,1756,1693,1733007,808,2083,2351,545982,11955,8,382556,1496,117361,390,3165745104,3165844753,0,3165844767,3165845282,3717470819,17865257,-83,37,1054,0.1758,1688.6,0.5280320780426595,0.08143338092848174,0.1758,26.96,80.5,,,,,,
2026-07-30T23:18:43.609286+00:00,S054,mounted,true,rotor_drag,mild,900,rotor_drag-mild_horizontal_no_load_0900rpm,3165944,778,917,2184,5132,3,3,1685817,9,116,295,382,10,1724,1494,1228,219,604,1589,16383,1767,1699,1717052,800,2071,2289,547200,11955,8,382556,1496,117362,390,3165845717,3165944921,0,3165944931,3165945446,3685912970,17865257,-88,-17,1041,0.1872,1688.6,0.42471446900878274,0.06143642434127994,0.1872,26.86,80.4,,,,,,
