unix_time,cmd_rpm,measured_rpm,i_dc_mv
1785368424.007,0,0,1765
1785368424.008,0,0,1765
1785368424.209,0,0,1765
1785368424.209,0,0,1765
1785368424.413,0,0,1765
1785368424.413,0,0,1765
1785368424.629,0,0,1765
1785368424.629,0,0,1765
1785368424.833,0,0,1765
1785368424.833,0,0,1765
1785368425.036,0,0,1765
1785368425.036,0,0,1765
1785368425.239,0,0,1765
1785368425.239,0,0,1765
1785368425.442,0,0,1765
1785368425.442,0,0,1765
1785368425.644,0,0,1765
1785368425.644,0,0,1765
1785368425.848,0,0,1765
1785368425.848,0,0,1765
1785368426.050,0,0,1765
1785368426.050,0,0,1765
1785368426.254,0,0,1765
1785368426.254,0,0,1765
1785368426.455,0,0,1765
1785368426.455,0,0,1765
1785368426.658,0,0,1765
1785368426.658,0,0,1765
1785368426.861,0,0,1765
1785368426.861,0,0,1765
1785368427.064,0,0,1765
1785368427.064,0,0,1765
1785368427.266,0,0,1765
1785368427.266,0,0,1765
1785368427.468,0,0,1765
1785368427.468,0,0,1765
1785368427.673,0,0,1765
1785368427.673,0,0,1765
1785368427.876,0,0,1765
1785368427.876,0,0,1765
1785368427.876,0,0,1765
1785368428.079,0,0,1765
1785368428.079,0,0,1765
1785368428.281,0,0,1765
1785368428.281,0,0,1765
1785368428.483,0,0,1765
1785368428.483,0,0,1765
1785368428.685,0,0,1765
1785368428.685,0,0,1765
1785368428.889,0,0,1765
1785368428.889,0,0,1765
1785368429.092,0,0,1765
1785368429.092,0,0,1765
1785368429.295,0,0,1765
1785368429.295,0,0,1765
1785368429.496,0,0,1765
1785368429.496,0,0,1765
1785368429.698,0,0,1765
1785368429.698,0,0,1765
1785368429.903,0,0,1765
1785368429.903,0,0,1765
1785368430.107,0,0,1765
1785368430.107,0,0,1765
1785368430.311,0,0,1765
1785368430.311,0,0,1765
1785368430.515,0,0,1765
1785368430.515,0,0,1765
1785368430.719,0,0,1765
1785368430.719,0,0,1765
1785368430.921,0,0,1765
1785368430.921,0,0,1765
1785368431.122,0,0,1765
1785368431.123,0,0,1765
1785368431.323,0,0,1765
1785368431.323,0,0,1765
1785368431.528,0,0,1765
1785368431.528,0,0,1765
1785368431.729,0,0,1765
1785368431.729,0,0,1765
1785368431.933,0,0,1765
1785368431.933,0,0,1765
1785368432.135,0,0,1765
1785368432.135,0,0,1765
1785368432.338,0,0,1765
1785368432.338,0,0,1765
1785368432.542,0,0,1765
1785368432.542,0,0,1765
1785368432.745,0,0,1765
1785368432.745,0,0,1765
1785368432.947,0,0,1765
1785368432.947,0,0,1765
1785368433.149,0,0,1765
1785368433.149,0,0,1765
1785368433.352,0,0,1765
1785368433.352,0,0,1765
1785368433.554,0,0,1765
1785368433.554,0,0,1765
1785368433.758,0,0,1765
