session_id,capture_id,phase,query_start_time_ns,query_start_utc,query_start_monotonic_ns,query_end_time_ns,query_end_utc,query_end_monotonic_ns,query_midpoint_time_ns,query_duration_ns,value_v,value_mv,nplc,line_frequency_hz,nominal_aperture_s,visa_resource,status,error
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,opening,1785393937527216600,2026-07-30T06:45:37.527217Z,111271093596500,1785393937884381800,2026-07-30T06:45:37.884382Z,111271450749300,1785393937705799200,357152800,1.68366461,1683.6646099999998,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,opening,1785393937895845400,2026-07-30T06:45:37.895845Z,111271462226600,1785393938286701900,2026-07-30T06:45:38.286702Z,111271853069700,1785393938091273650,390843100,1.68364821,1683.64821,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,opening,1785393938298947200,2026-07-30T06:45:38.298947Z,111271865329000,1785393938656770300,2026-07-30T06:45:38.656770Z,111272223145100,1785393938477858750,357816100,1.68367678,1683.67678,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393938664932900,2026-07-30T06:45:38.664933Z,111272231314200,1785393939007188100,2026-07-30T06:45:39.007188Z,111272573562100,1785393938836060500,342247900,1.68367966,1683.67966,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393939024085300,2026-07-30T06:45:39.024085Z,111272590472000,1785393939366493600,2026-07-30T06:45:39.366494Z,111272932873900,1785393939195289450,342401900,1.68366939,1683.66939,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393939373756700,2026-07-30T06:45:39.373757Z,111272940146300,1785393939715768900,2026-07-30T06:45:39.715769Z,111273282150300,1785393939544762800,342004000,1.68366988,1683.6698800000001,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393939723044200,2026-07-30T06:45:39.723044Z,111273289433600,1785393940065193100,2026-07-30T06:45:40.065193Z,111273631577600,1785393939894118650,342144000,1.68366086,1683.66086,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393940071068500,2026-07-30T06:45:40.071069Z,111273637458600,1785393940412724600,2026-07-30T06:45:40.412724Z,111273979112200,1785393940241896550,341653600,1.68367552,1683.67552,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393940416225200,2026-07-30T06:45:40.416225Z,111273982617300,1785393940757915700,2026-07-30T06:45:40.757916Z,111274324305300,1785393940587070450,341688000,1.68368848,1683.68848,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393940766448400,2026-07-30T06:45:40.766448Z,111274332844600,1785393941108021900,2026-07-30T06:45:41.108022Z,111274674413300,1785393940937235150,341568700,1.68369817,1683.69817,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393941112697900,2026-07-30T06:45:41.112698Z,111274679095300,1785393941454259500,2026-07-30T06:45:41.454259Z,111275020656400,1785393941283478700,341561100,1.68367199,1683.6719899999998,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393941457423900,2026-07-30T06:45:41.457424Z,111275023822700,1785393941799628600,2026-07-30T06:45:41.799628Z,111275366022700,1785393941628526250,342200000,1.68369233,1683.6923299999999,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393941813174400,2026-07-30T06:45:41.813174Z,111275379577900,1785393942155039200,2026-07-30T06:45:42.155039Z,111275721440100,1785393941984106800,341862200,1.68365839,1683.65839,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393942173246300,2026-07-30T06:45:42.173246Z,111275739650300,1785393942579273900,2026-07-30T06:45:42.579274Z,111276145676400,1785393942376260100,406026100,1.68365617,1683.65617,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,settle,1785393942585162800,2026-07-30T06:45:42.585163Z,111276151570700,1785393942926746500,2026-07-30T06:45:42.926747Z,111276493151400,1785393942755954650,341580700,1.6836462,1683.6462000000001,10.0,60.0,0.16666666666666666,USB0::0x2A8D::0x1701::MY########::0::INSTR,ok,
