session_id,capture_id,host_receive_time_ns,host_receive_utc,host_receive_monotonic_ns,phase,serial_port,schema_sha256,raw_line_sha256,raw_line,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,pa0_raw_mean_code,pa0_raw_sd_code,vref_raw_mean_code,vref_raw_sd_code,pa0_vref_ratio,pa0_factory_uv
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937185788200,2026-07-30T06:45:37.185788Z,111270752157700,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,f63f6f8b5b09be0e3fbc19a17fb0635a9bf83b4c80c1b6ad9cdb7fa97e0a691e,"335435,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1244,58,120,1715,16351,1682,1675,1663997,800,2055,2105,532674,11950,8,382468,1496,3349,0,335336522,335435664,0,335435674,335436189,3461148797,17850324",335435,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1244,58,120,1715,16351,1682,1675,1663997,800,2055,2105,532674,11950,8,382468,1496,3349,0,335336522,335435664,0,335435674,335436189,3461148797,17850324,2079.99625,7.183051993164715,1493.75,1.1989578808281798,1.392466108786611,1678712.2553987158
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937285581100,2026-07-30T06:45:37.285581Z,111270851951400,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,fbafdd3459bba2045a9800704706ca0774d61cf7aed0a142fd04ac32d636376f,"335535,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1229,60,123,1714,16351,1683,1674,1664028,800,2055,2103,532686,11952,8,382468,1496,3350,0,335436585,335535699,0,335535710,335536225,3461275674,17856292",335535,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1229,60,123,1714,16351,1683,1674,1664028,800,2055,2103,532686,11952,8,382468,1496,3350,0,335436585,335535699,0,335535710,335536225,3461275674,17856292,2080.035,6.999376758063339,1494.0,0.7071067811865476,1.3922590361445781,1678462.61529635
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937382214300,2026-07-30T06:45:37.382214Z,111270948584800,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,79f82d730051456902dfb7d3cba3e030d7ce76e62cbca3363ef5fb79711076ba,"335635,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1263,60,123,1715,16351,1683,1672,1680527,808,2051,2101,532718,11954,8,382471,1496,3351,0,335536621,335636340,0,335636415,335636930,3495306157,17862270",335635,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1263,60,123,1715,16351,1683,1672,1680527,808,2051,2101,532718,11954,8,382471,1496,3351,0,335536621,335636340,0,335636415,335636930,3495306157,17862270,2079.8601485148515,7.46453635181938,1494.25,0.82915619758885,1.3919090838312542,1678040.7240679206
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937487906100,2026-07-30T06:45:37.487906Z,111271054278700,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,bed4ca6f76cb44ecfb4492e0ffe4d4b89fdfad572fd89c96c530568fca15e322,"335735,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1268,63,121,1715,16351,1682,1673,1663968,800,2053,2100,532732,11954,8,382474,1496,3352,0,335637326,335736398,0,335736473,335736988,3461030940,17862266",335735,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1268,63,121,1715,16351,1682,1673,1663968,800,2053,2100,532732,11954,8,382474,1496,3352,0,335637326,335736398,0,335736473,335736988,3461030940,17862266,2079.96,7.421145464152436,1494.25,0.4330127018922193,1.3919759076459763,1678121.284704922
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937587183000,2026-07-30T06:45:37.587183Z,111271153558500,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,b9b8c2f9a4f27ab517c282d54cee534565cae4af6fef6d51f8616f97157842d2,"335835,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1257,60,116,1714,16351,1682,1673,1663851,800,2059,2105,532719,11954,8,382477,1496,3353,0,335737384,335836441,0,335836516,335837031,3460539473,17862268",335835,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1257,60,116,1714,16351,1682,1673,1663851,800,2059,2105,532719,11954,8,382477,1496,3353,0,335737384,335836441,0,335836516,335837031,3460539473,17862268,2079.81375,7.007607361864696,1494.25,0.6614378277661477,1.3918780324577547,1678003.2895329534
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937688716200,2026-07-30T06:45:37.688716Z,111271255090000,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,9853552f51ae0b6c89cddab2fddcf7dd7621fb38e170d13db2ff45caec2eb8d0,"335935,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1495,1243,60,116,1714,16351,1682,1674,1664018,800,2055,2101,532708,11957,8,382486,1496,3354,0,335837427,335936494,0,335936568,335937083,3461238674,17871233",335935,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1495,1243,60,116,1714,16351,1682,1674,1664018,800,2055,2101,532708,11957,8,382486,1496,3354,0,335837427,335936494,0,335936568,335937083,3461238674,17871233,2080.0225,7.398783261486009,1494.625,0.4841229182759271,1.3916684787153968,1677750.658296012
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937788085800,2026-07-30T06:45:37.788086Z,111271354459200,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,51e1fdc1146141f37fa27748971239fcab27462510f71f9be05f4a05c350814a,"336036,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1229,60,116,1715,16351,1683,1674,1664063,800,2053,2101,532732,11950,8,382481,1496,3355,0,335937479,336036570,0,336036645,336037160,3461425389,17850316",336036,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1229,60,116,1715,16351,1683,1674,1664063,800,2053,2101,532732,11950,8,382481,1496,3355,0,335937479,336036570,0,336036645,336037160,3461425389,17850316,2080.07875,7.357312582529304,1493.75,0.6614378277661477,1.392521338912134,1678778.8390577347
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937888499800,2026-07-30T06:45:37.888500Z,111271454874300,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,16e39a434564e7ff89edfd08589d459367b355099c6ae29b7d42bf5f00052b22,"336136,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1260,57,112,1715,16351,1682,1673,1664096,800,2053,2101,532727,11951,8,382478,1496,3356,0,336037556,336136642,0,336136717,336137232,3461564134,17853305",336136,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1260,57,112,1715,16351,1682,1673,1664096,800,2053,2101,532727,11951,8,382478,1496,3356,0,336037556,336136642,0,336136717,336137232,3461564134,17853305,2080.12,7.480180479140068,1493.875,0.7806247497997998,1.3924324324324324,1678671.6562716563
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393937989112000,2026-07-30T06:45:37.989112Z,111271555486500,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,df3884f30f198c60d822bf6c60c73b7dc453f5eb5aecd67feffaf7b15e6b8fcc,"336236,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1248,57,112,1715,16351,1682,1675,1663977,800,2055,2103,532728,11954,8,382481,1496,3357,0,336137628,336236695,0,336236770,336237285,3461063303,17862268",336236,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1494,1248,57,112,1715,16351,1682,1675,1663977,800,2055,2103,532728,11954,8,382481,1496,3357,0,336137628,336236695,0,336236770,336237285,3461063303,17862268,2079.97125,6.980538907349609,1494.25,0.6614378277661477,1.3919834365066086,1678130.3612566115
rawcal_20260730T064526Z_8b45a684,cap_1785393937030954800_off_0d45f2b4,1785393938087073300,2026-07-30T06:45:38.087073Z,111271653449200,opening,COM8,0b971f581fa0e3b08341514913c65f077940ce5845f3cbfb6d8a85be785c74d2,4339fe7a60a5e79d9d75676bc32a4aa100c960156964dafa5cf44bd25c5ec346,"336336,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1495,1215,57,116,1714,16351,1682,1673,1680743,808,2057,2103,532735,11956,8,382487,1496,3358,0,336237681,336337350,0,336337360,336337875,3496201791,17868246",336336,0,1194,2230,6791,4,0,201,9,4286856,301,297,95,1679,1495,1215,57,116,1714,16351,1682,1673,1680743,808,2057,2103,532735,11956,8,382487,1496,3358,0,336237681,336337350,0,336337360,336337875,3496201791,17868246,2080.1274752475247,7.218124709293138,1494.5,0.7071067811865476,1.3918551189344428,1677975.6657278526
