t,rpm,amps,peak_a,mv,env,vib,ripple,temp_mv
0.01,0,0.05,0.072,1638,6,57,7256,1652
0.01,0,0.055,0.072,1639,9,57,7256,1652
0.01,0,0.055,0.072,1639,6,58,7256,1652
0.01,0,0.072,0.163,1642,22,59,786,1648
0.01,1480,0.084,0.135,1644,11,59,348,1647
0.01,1786,0.095,0.135,1646,11,59,305,1648
0.01,1934,0.101,0.135,1647,7,59,291,1653
0.01,1975,0.107,0.135,1648,7,61,289,1652
0.01,2003,0.107,0.135,1648,7,62,291,1650
0.01,2025,0.107,0.129,1648,6,62,291,1651
0.01,2032,0.112,0.129,1649,10,61,293,1658
0.01,2020,0.112,0.129,1649,7,61,290,1654
0.02,1992,0.112,0.129,1649,7,61,289,1652
0.02,1986,0.112,0.141,1649,10,61,290,1657
0.02,2009,0.112,0.141,1649,8,61,288,1654
0.02,2026,0.112,0.135,1649,9,60,292,1650
0.02,2039,0.112,0.135,1649,9,60,290,1652
0.02,2058,0.112,0.135,1649,7,60,294,1651
0.02,2065,0.112,0.129,1649,7,61,294,1649
0.02,2056,0.112,0.135,1649,9,61,289,1648
0.02,2042,0.112,0.141,1649,9,61,293,1651
0.02,2037,0.112,0.124,1649,7,63,291,1655
0.02,2018,0.112,0.124,1649,7,63,293,1653
0.02,2010,0.112,0.129,1649,9,63,290,1651
0.02,2008,0.112,0.124,1649,5,62,292,1651
0.02,2007,0.112,0.129,1649,7,62,291,1654
0.03,2009,0.112,0.118,1649,6,63,291,1651
0.03,2019,0.112,0.124,1649,5,68,291,1650
0.03,2029,0.112,0.129,1649,10,68,290,1649
0.03,2041,0.112,0.129,1649,6,67,292,1655
0.03,2056,0.112,0.124,1649,7,67,293,1649
0.03,2062,0.112,0.141,1649,10,62,293,1650
0.03,2058,0.112,0.135,1649,7,63,294,1652
0.03,2044,0.112,0.124,1649,5,63,292,1651
0.03,2038,0.112,0.135,1649,11,60,292,1653
0.03,2037,0.112,0.129,1649,7,61,290,1654
0.04,2033,0.112,0.124,1649,6,61,292,1647
0.04,2036,0.112,0.124,1649,7,61,293,1648
0.04,2036,0.112,0.135,1649,11,61,290,1652
0.04,2037,0.112,0.124,1649,6,62,290,1647
0.04,2023,0.112,0.118,1649,6,65,290,1645
0.04,2013,0.112,0.129,1649,8,65,291,1648
0.04,2010,0.112,0.129,1649,7,65,292,1650
0.04,2006,0.112,0.129,1649,9,64,291,1649
0.04,2006,0.107,0.135,1648,9,64,293,1648
0.04,2009,0.112,0.129,1649,6,63,290,1648
0.04,2006,0.112,0.129,1649,7,63,290,1648
0.04,2006,0.112,0.124,1649,6,65,290,1649
0.04,2008,0.112,0.135,1649,9,66,292,1649
0.04,2007,0.112,0.124,1649,6,66,291,1647
0.05,2006,0.112,0.129,1649,7,62,291,1649
0.05,2007,0.112,0.124,1649,9,64,289,1650
0.05,2008,0.112,0.124,1649,6,64,287,1651
0.05,2007,0.112,0.124,1649,5,63,290,1649
0.05,2004,0.112,0.135,1649,9,63,292,1647
0.05,2006,0.112,0.129,1649,8,65,289,1649
0.05,2009,0.112,0.129,1649,6,63,292,1648
0.05,2008,0.112,0.129,1649,8,63,289,1647
0.05,2018,0.112,0.124,1649,7,61,290,1646
0.05,2031,0.112,0.118,1649,5,59,292,1647
0.05,2029,0.112,0.124,1649,7,59,293,1649
0.05,2007,0.112,0.129,1649,7,60,290,1649
0.05,1988,0.112,0.135,1649,11,60,288,1649
0.06,1986,0.112,0.135,1649,8,63,290,1653
0.06,1996,0.107,0.118,1648,6,65,292,1653
0.06,2004,0.112,0.129,1649,7,65,288,1654
0.06,2005,0.112,0.124,1649,5,65,291,1651
0.06,2005,0.112,0.129,1649,7,64,291,1650
0.06,2008,0.112,0.118,1649,8,64,289,1651
0.06,2009,0.112,0.129,1649,7,67,293,1656
0.06,2004,0.112,0.124,1649,6,67,289,1653
0.06,2006,0.107,0.124,1648,7,66,290,1652
0.06,2007,0.112,0.141,1649,9,65,292,1649
0.06,2007,0.112,0.118,1649,6,65,290,1650
0.06,2005,0.112,0.124,1649,6,66,292,1653
0.06,2007,0.112,0.129,1649,8,66,292,1651
0.06,2010,0.112,0.135,1649,9,66,291,1650
0.06,2028,0.112,0.129,1649,7,67,290,1649
