setpoint,measured_rpm,board_dmv,scope_dmv,dmm_dmv,spread_mv,app_a,ref_a,err_ma
200,215,2.5,2.21,2.06,0.44,0.066,0.07,-4.0
300,310,1.0,1.55,1.19,0.55,0.058,0.071,-13.0
400,411,1.18,1.45,1.43,0.27,0.059,0.073,-14.0
500,516,3.18,3.02,2.99,0.19,0.07,0.074,-4.0
600,612,3.5,3.65,3.37,0.28,0.072,0.075,-3.0
700,717,4.5,3.89,3.54,0.96,0.078,0.077,1.0
800,811,4.5,4.21,3.84,0.66,0.078,0.079,-1.0
900,916,5.47,4.11,4.39,1.36,0.083,0.08,3.0
1000,1016,5.15,4.7,4.67,0.47,0.081,0.081,0.0
1100,1118,3.74,4.05,3.87,0.3,0.073,0.083,-10.0
1200,1217,6.15,5.29,5.64,0.86,0.087,0.084,3.0
1300,1313,7.95,7.51,7.17,0.78,0.097,0.086,11.0
1400,1413,6.45,6.42,6.3,0.15,0.089,0.089,0.0
1500,1522,6.5,6.02,6.8,0.79,0.089,0.091,-2.0
1600,1618,7.08,6.98,6.94,0.14,0.092,0.093,-1.0
1700,1710,7.5,7.52,7.24,0.28,0.095,0.095,0.0
1800,1818,10.0,8.84,9.07,1.16,0.109,0.097,12.0
1900,1926,10.0,9.21,9.19,0.81,0.109,0.099,10.0
2000,2015,10.0,9.22,9.35,0.78,0.109,0.101,8.0
2100,2130,9.18,8.84,8.78,0.39,0.104,0.102,2.0
2200,2235,9.0,8.38,8.36,0.64,0.103,0.103,0.0
2300,2311,9.0,8.86,8.69,0.31,0.103,0.105,-2.0
2400,2312,10.02,9.27,9.75,0.75,0.109,0.105,4.0
