t,board_mv,dmm_mv,scope_mv,board_c,dmm_c
1.8,1350.8,1353.4,1343.3,34.69,34.61
3.5,1343.9,1346.7,1336.0,34.92,34.83
5.2,1337.5,1340.1,1330.1,35.14,35.05
6.9,1331.1,1333.5,1323.5,35.35,35.27
8.8,1326.3,1327.8,1317.2,35.51,35.46
10.4,1319.2,1322.0,1312.4,35.75,35.66
12.2,1313.4,1313.3,1305.0,35.95,35.95
14.0,1302.8,1301.2,1295.1,36.31,36.37
15.7,1300.2,1297.5,1290.9,36.4,36.49
17.5,1291.2,1290.1,1278.0,36.71,36.75
19.2,1281.8,1288.9,1277.3,37.03,36.79
20.9,1279.8,1282.2,1270.7,37.1,37.02
22.6,1272.8,1273.7,1262.1,37.34,37.31
24.5,1264.5,1266.2,1254.3,37.63,37.57
26.2,1257.8,1262.1,1250.5,37.86,37.71
28.0,1253.5,1255.2,1243.2,38.02,37.95
29.7,1246.8,1248.6,1236.6,38.25,38.19
31.4,1239.4,1239.0,1229.4,38.51,38.52
33.3,1232.5,1235.0,1223.0,38.75,38.66
35.1,1226.3,1228.0,1215.3,38.97,38.91
36.8,1219.3,1220.7,1208.5,39.22,39.17
38.5,1212.7,1214.2,1201.4,39.46,39.4
40.3,1205.8,1207.8,1194.8,39.7,39.63
42.1,1199.4,1200.7,1187.9,39.94,39.89
43.8,1191.9,1193.7,1181.7,40.21,40.14
45.6,1185.3,1187.1,1174.2,40.44,40.38
47.4,1179,1180.2,1167.1,40.68,40.63
49.2,1172,1173.4,1160.3,40.93,40.88
51.0,1164.8,1166.4,1146.1,41.2,41.14
52.8,1158.2,1159.8,1147.2,41.44,41.38
54.5,1151.1,1153.3,1139.8,41.7,41.62
56.3,1145.3,1146.8,1132.9,41.92,41.86
58.0,1138.9,1140.5,1126.7,42.16,42.1
59.7,1131.5,1129.0,1120.9,42.44,42.53
61.4,1126.1,1128.1,1114.5,42.64,42.56
63.1,1120.3,1122.1,1108.4,42.86,42.79
64.8,1114.2,1115.9,1102.1,43.09,43.03
66.5,1108.3,1109.8,1095.9,43.31,43.26
68.2,1102.2,1103.7,1089.9,43.55,43.49
70.0,1096.3,1097.6,1083.9,43.78,43.73
71.8,1089.9,1091.1,1077.3,44.02,43.98
73.5,1083.4,1084.7,1070.8,44.28,44.23
75.3,1077.3,1078.5,1064.5,44.51,44.47
77.1,1071.2,1072.3,1058.7,44.76,44.71
78.9,1065.2,1066.1,1051.7,44.99,44.95
80.7,1058.7,1060.0,1046.0,45.25,45.2
82.4,1052.7,1054.2,1039.8,45.48,45.42
84.2,1047.5,1048.8,1034.0,45.69,45.64
86.0,1042.2,1043.4,1028.8,45.9,45.85
87.7,1037,1038.5,1024.5,46.11,46.05
89.4,1032,1033.8,1019.6,46.31,46.24
91.1,1027.4,1029.1,1014.5,46.5,46.43
