condition,speed_setpoint_rpm,run,accel_rms_mg,i_dc_a,ripple_permil,temp_motor_c,accel_pk_mg,rpm
healthy,300,S001,60.99668049792531,0.06790041493775933,291.6630705394191,23.869294605809127,156,312.1020746887967
healthy,300,S002,61.24295190713101,0.06630630182421228,285.1442786069652,23.93803482587065,152,311.6558872305141
healthy,300,S003,61.40580912863071,0.071861244813278,291.47883817427385,23.949983402489625,150,311.19834024896267
healthy,500,S004,61.54228855721393,0.07218689883913765,271.77777777777777,23.99325870646766,154,509.0016583747927
healthy,500,S005,61.34908789386402,0.07024179104477611,260.6152570480929,24.054154228855722,147,508.26948590381426
healthy,500,S006,61.892205638474294,0.07257131011608624,264.8150912106136,24.10709784411277,149,506.9800995024876
healthy,700,S007,63.20563847429519,0.07042553897180763,250.53980099502488,24.172247097844114,154,710.6069651741293
healthy,700,S008,64.03233830845771,0.06975439469320065,252.75953565505804,24.27346600331675,157,710.9709784411277
healthy,700,S009,63.44149377593361,0.07277261410788383,251.05560165975103,24.3597510373444,156,709.9211618257261
healthy,900,S010,61.98589211618257,0.07606804979253112,268.04398340248963,24.46671369294606,157,912.7294605809128
healthy,900,S011,62.35850622406639,0.07590721991701245,260.4157676348548,24.578257261410787,154,911.1427385892116
healthy,900,S012,62.80099502487562,0.07384112769485904,257.5995024875622,24.7000912106136,161,911.8681592039801
healthy,1100,S013,63.96680497925311,0.07953062240663901,268.95601659751037,24.830804979253113,170,1109.2248962655601
healthy,1100,S015,64.5273631840796,0.07720945273631842,263.6558872305141,25.101053067993366,170,1109.9892205638475
healthy,1100,S031,64.48507462686567,0.0787145936981758,266.1575456053068,25.1524543946932,159,1108.603648424544
healthy,1300,S016,63.22056384742952,0.08328026533996684,271.7238805970149,25.20789386401327,163,1310.4170812603647
healthy,1300,S017,63.655601659751035,0.08325809128630705,277.9319502074689,25.29245643153527,163,1310.1726141078839
healthy,1300,S018,62.602159468438536,0.08315697674418605,271.10132890365446,25.335465116279067,164,1311.5
healthy,1500,S019,62.04979253112033,0.08281012448132781,277.4099585062241,25.36760165975104,166,1504.4672199170125
healthy,1500,S020,61.88796680497925,0.08366995850622407,282.67468879668047,25.438008298755186,158,1506.7775933609958
healthy,1500,S032,62.52614107883817,0.08321692946058092,277.41078838174275,25.291178423236513,157,1507.9817427385892
healthy,1700,S022,60.333333333333336,0.0870648379052369,286.6541978387365,25.841072319201995,154,1707.881961762261
healthy,1700,S023,60.53488372093023,0.08359119601328903,284.437707641196,25.966370431893687,153,1712.721760797342
healthy,1700,S024,60.671654197838734,0.0861361596009975,286.7822111388196,26.10108063175395,153,1709.4497090606817
healthy,1900,S025,60.58935993349959,0.09425985037406484,294.58686616791357,26.181620947630925,157,1911.2668329177056
healthy,1900,S026,60.56026600166251,0.09218204488778055,296.8113050706567,26.28515378221114,160,1912.847880299252
healthy,1900,S027,61.44601328903654,0.09604053156146179,297.42109634551497,26.31187707641196,159,1910.0988372093022
healthy,2100,S028,61.67192691029901,0.09795340531561463,301.3397009966777,26.377898671096347,175,2118.156976744186
healthy,2100,S029,61.7890365448505,0.09640448504983389,301.0340531561462,26.510913621262457,156,2115.2466777408636
healthy,2100,S030,62.21926910299003,0.09633147840531563,301.05897009966776,26.63480897009967,158,2117.764950166113
loose_mount,500,S033,58.803319502074686,0.06953377593360995,261.9286307053942,24.551809128630705,146,509.82489626556014
loose_mount,500,S034,58.62406639004149,0.06769842323651452,255.5701244813278,24.60996680497925,143,509.79419087136927
loose_mount,1300,S035,58.24149377593361,0.08224265560165975,274.1161825726141,24.870879668049792,152,1311.058091286307
loose_mount,1300,S036,58.49958506224066,0.07896298755186722,272.7917012448133,25.069958506224065,146,1310.1178423236515
loose_mount,2100,S037,104.56976744186046,0.11184875415282391,302.88455149501664,25.158247508305646,416,2114.8056478405315
loose_mount,2100,S038,93.82641196013289,0.09979019933554818,302.84634551495014,25.207998338870432,357,2116.3878737541527
loose_mount,2100,S040,111.37043189368771,0.08816710963455149,301.3920265780731,24.702317275747507,397,2113.551495016611
orientation_change,500,S041,68.32282157676349,0.07050929460580913,257.4008298755187,24.01247302904564,175,509.746887966805
